station_id,station_name,datetime,current_available_bikes,district,hour,rental_lag_1h,rental_lag_2h,rental_lag_24h,rental_lag_168h,rental_rolling_mean_3h,rental_rolling_mean_24h,rental_rolling_std_24h,rental_rolling_mean_7d_same_hour,available_bikes_lag_1h,available_bikes_change_1h
1961,신도림테크노근린공원,2025-10-31 09:00:00,21.0,미상,9,6.0,2.0,4.0,2.0,3.333333333333333,2.708333333333333,3.141298079327779,2.142857142857143,19.0,2.0
2429,압구정로데오역 6번출구,2025-10-31 09:00:00,,미상,9,0.0,0.0,1.0,2.0,0.0,0.0416666666666666,0.2041241452319223,0.7142857142857143,,
1620,중계구민체육센터,2025-10-31 09:00:00,0.0,미상,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620,중계구민체육센터,2025-10-31 10:00:00,0.0,미상,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4065,창동역 1번출구 앞,2025-10-31 10:00:00,,미상,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2429,압구정로데오역 6번출구,2025-10-31 10:00:00,,미상,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
1961,신도림테크노근린공원,2025-10-31 10:00:00,,미상,10,3.0,6.0,2.0,5.0,3.6666666666666665,2.6666666666666665,3.1300321802299966,2.857142857142857,21.0,
4065,창동역 1번출구 앞,2025-10-31 11:00:00,,미상,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1620,중계구민체육센터,2025-10-31 11:00:00,0.0,미상,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1961,신도림테크노근린공원,2025-10-31 11:00:00,,미상,11,0.0,3.0,1.0,2.0,3.0,2.583333333333333,3.1748559250661312,1.7142857142857142,,
2429,압구정로데오역 6번출구,2025-10-31 11:00:00,,미상,11,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.4285714285714286,,
4065,창동역 1번출구 앞,2025-10-31 12:00:00,,미상,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1620,중계구민체육센터,2025-10-31 12:00:00,0.0,미상,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2429,압구정로데오역 6번출구,2025-10-31 12:00:00,,미상,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5714285714285714,,
1961,신도림테크노근린공원,2025-10-31 12:00:00,,미상,12,0.0,0.0,4.0,1.0,1.0,2.5416666666666665,3.2029764237369087,3.571428571428572,,
2429,압구정로데오역 6번출구,2025-10-31 13:00:00,,미상,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,,
1961,신도림테크노근린공원,2025-10-31 13:00:00,,미상,13,0.0,0.0,3.0,5.0,0.0,2.375,3.2277667606054727,3.571428571428572,,
1620,중계구민체육센터,2025-10-31 13:00:00,0.0,미상,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4065,창동역 1번출구 앞,2025-10-31 13:00:00,,미상,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1961,신도림테크노근린공원,2025-10-31 14:00:00,,미상,14,0.0,0.0,1.0,2.0,0.0,2.25,3.26043475361932,2.142857142857143,,
2429,압구정로데오역 6번출구,2025-10-31 14:00:00,,미상,14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5714285714285714,,
1620,중계구민체육센터,2025-10-31 14:00:00,0.0,미상,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4065,창동역 1번출구 앞,2025-10-31 14:00:00,,미상,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1961,신도림테크노근린공원,2025-10-31 15:00:00,,미상,15,0.0,0.0,3.0,3.0,0.0,2.208333333333333,3.283412417203976,2.857142857142857,,
1620,중계구민체육센터,2025-10-31 15:00:00,0.0,미상,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2429,압구정로데오역 6번출구,2025-10-31 15:00:00,,미상,15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5714285714285714,,
4065,창동역 1번출구 앞,2025-10-31 15:00:00,,미상,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4065,창동역 1번출구 앞,2025-10-31 16:00:00,,미상,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1961,신도림테크노근린공원,2025-10-31 16:00:00,,미상,16,0.0,0.0,7.0,6.0,0.0,2.083333333333333,3.3089689273728182,5.0,,
1620,중계구민체육센터,2025-10-31 16:00:00,0.0,미상,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2429,압구정로데오역 6번출구,2025-10-31 16:00:00,,미상,16,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.5714285714285714,,
4065,창동역 1번출구 앞,2025-10-31 17:00:00,,미상,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1961,신도림테크노근린공원,2025-10-31 17:00:00,,미상,17,0.0,0.0,9.0,12.0,0.0,1.7916666666666667,3.1619912090006,8.285714285714286,,
2429,압구정로데오역 6번출구,2025-10-31 17:00:00,,미상,17,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.7142857142857142,,
1620,중계구민체육센터,2025-10-31 17:00:00,0.0,미상,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
